Date,Open,High,Low,Close,Adj Close,Volume
3/23/11,128.929993,130,128.320007,129.660004,105.315971,148603100
3/24/11,130.399994,131.089996,129.669998,130.899994,106.323151,159129800
3/25/11,131.240005,131.869995,130.889999,131.300003,106.648056,155642800
3/28/11,131.580002,131.919998,130.940002,130.979996,106.38813,109762400
3/29/11,130.869995,131.899994,130.440002,131.860001,107.102928,129798800
3/30/11,132.550003,133.160004,132.360001,132.770004,107.842072,135835000
3/31/11,132.600006,132.960007,132.449997,132.589996,107.695854,132537100
4/1/11,133.410004,133.770004,132.830002,133.149994,108.150719,153850100
4/4/11,133.429993,133.669998,132.880005,133.259995,108.240059,100768900
4/5/11,133,133.830002,132.940002,133.240005,108.223824,120791500
4/6/11,133.880005,134,133.119995,133.660004,108.564941,120411600
4/7/11,133.419998,133.979996,132.660004,133.320007,108.288811,170731500
4/8/11,133.910004,133.990005,132.309998,132.860001,107.915161,147945400
4/11/11,133,133.449997,132.139999,132.460007,107.59024,121385400
4/12/11,131.720001,131.979996,130.990005,131.470001,106.78614,161187400
4/13/11,132.080002,132.179993,130.960007,131.460007,106.778008,162059000
4/14/11,130.699997,131.759995,130.270004,131.559998,106.859253,161220400
4/15/11,131.800003,132.369995,131.410004,132.039993,107.249115,170006700
4/18/11,130.589996,132.029999,129.509995,130.559998,106.046982,210759300
4/19/11,130.759995,131.350006,130.440002,131.309998,106.656158,124258800
4/20/11,132.880005,133.389999,132.789993,133.100006,108.110092,156133800
4/21/11,133.789993,133.839996,133.100006,133.779999,108.662415,135935400
4/25/11,133.679993,133.860001,133.199997,133.639999,108.548729,65757100
4/26/11,134.050003,135.059998,133.910004,134.789993,109.482788,146600000
4/27/11,135.050003,135.869995,134.5,135.669998,110.197594,143031000
4/28/11,135.429993,136.289993,135.410004,136.110001,110.554932,124791100
4/29/11,136.160004,136.570007,135.979996,136.429993,110.814857,115094100
5/2/11,137.070007,137.179993,135.949997,136.220001,110.644325,126278700
5/3/11,135.960007,136.190002,135.039993,135.729996,110.246307,138375000
5/4/11,135.669998,135.729996,134.229996,134.830002,109.51532,182678500
5/5/11,134.080002,134.949997,133.020004,133.610001,108.524345,226900000
5/6/11,134.940002,135.630005,133.679993,134.199997,109.003601,222787200
5/9/11,134.190002,135.110001,133.979996,134.720001,109.425957,114104500
5/10/11,135.169998,136.110001,135,135.869995,110.360016,114806900
5/11/11,135.669998,135.690002,133.820007,134.440002,109.198517,193564200
5/12/11,134.080002,135.360001,133.389999,135.080002,109.718353,171550700
5/13/11,135.149994,135.339996,133.559998,134.039993,108.873634,157444900
5/16/11,133.559998,134.610001,132.970001,133.190002,108.18322,141675400
5/17/11,132.690002,133.350006,132.119995,133.169998,108.166939,192686200
5/18/11,133.240005,134.5,132.949997,134.360001,109.133522,135217900
5/19/11,134.800003,135.029999,133.940002,134.679993,109.393448,119489500
5/20/11,134.330002,134.679993,133.360001,133.610001,108.524345,182594900
5/23/11,131.979996,132.720001,131.589996,132.059998,107.265388,168700000
5/24/11,132.440002,132.729996,131.699997,131.949997,107.176003,147199600
5/25/11,131.419998,132.940002,131.380005,132.389999,107.533417,151050100
5/26/11,132.029999,133.240005,131.779999,133,108.028893,164850000
5/27/11,133.369995,133.869995,132.960007,133.509995,108.443108,120921900
5/31/11,134.770004,134.919998,133.839996,134.899994,109.572159,164731200
6/1/11,134.509995,134.919998,131.759995,131.869995,107.111031,233094300
6/2/11,131.960007,132.240005,130.960007,131.729996,106.997307,200466800
6/3/11,130.149994,131.419998,130.080002,130.419998,105.933266,234690200
6/6/11,130.089996,130.360001,128.869995,129.039993,104.812386,179951200
6/7/11,129.699997,130.070007,128.850006,128.960007,104.747406,161660500
6/8/11,128.759995,129.190002,128.179993,128.419998,104.308784,198696400
6/9/11,128.770004,129.929993,128.460007,129.399994,105.104805,160964400
6/10/11,128.850006,128.929993,127.260002,127.599998,103.642746,238629400
6/13/11,127.889999,128.240005,127.050003,127.699997,103.723984,207599800
6/14/11,128.869995,129.770004,128.820007,129.320007,105.03981,160570400
6/15/11,128.240005,129.300003,126.68,127.019997,103.171646,300958000
